action_conflict_count,action_id,contradiction_pixels_informative_but_zero_weight,maximum_competitor_difference_digest,nearest_competitor_difference_digest,nearest_conflicting_action_difference_digest,per_pixel_differing_digest,per_pixel_sharing_digest,positive_action_conflict_separation_count,positive_separation_weight_count,row_id,row_informative_pixel_count,row_informative_stable_count,row_informative_stable_positive_separation_count,stable_pixel_count
109,STAY,109,sha256:62b88edef8814febfbbdd79896c4b02048ce77dfae34a93c378c642d3e7330dd,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:2ff8bdea6e41f4bf8c70fb52f41ec9d728cc4e026fb14de0a9b05bb98208b0fd,sha256:7d180d873d31a0185fc25a3b3b73a6b445d7b9bd6f337996ff2de291e683f16f,0,0,tank=1|target=none|cooldown=1,109,103,0,438
109,LEFT,109,sha256:62b88edef8814febfbbdd79896c4b02048ce77dfae34a93c378c642d3e7330dd,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:2d039ef9c0f7dca29c01afe5b2a7d0e631a6c080ccd6c4496b8e7b58c21fab85,sha256:364a2f0ff69c687400f967cd7d45ea11ca493b259b62749ff291b59c225203d6,0,0,tank=2|target=0|cooldown=0,109,100,0,432
109,LEFT,109,sha256:62b88edef8814febfbbdd79896c4b02048ce77dfae34a93c378c642d3e7330dd,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:2d039ef9c0f7dca29c01afe5b2a7d0e631a6c080ccd6c4496b8e7b58c21fab85,sha256:364a2f0ff69c687400f967cd7d45ea11ca493b259b62749ff291b59c225203d6,0,0,tank=2|target=0|cooldown=1,109,100,0,432
109,LEFT,109,sha256:62b88edef8814febfbbdd79896c4b02048ce77dfae34a93c378c642d3e7330dd,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:53cc74c10b4e25abe65a2ffb096f84d5d91dd85fd554a6c8170dd4442e0bfe6e,sha256:7b566e3d16a77ce9a46a09e880830c2a6524b22059b837846607d32cc6e6605f,0,0,tank=2|target=1|cooldown=0,109,100,0,432
109,LEFT,109,sha256:62b88edef8814febfbbdd79896c4b02048ce77dfae34a93c378c642d3e7330dd,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:53cc74c10b4e25abe65a2ffb096f84d5d91dd85fd554a6c8170dd4442e0bfe6e,sha256:7b566e3d16a77ce9a46a09e880830c2a6524b22059b837846607d32cc6e6605f,0,0,tank=2|target=1|cooldown=1,109,100,0,432
109,FIRE,109,sha256:62b88edef8814febfbbdd79896c4b02048ce77dfae34a93c378c642d3e7330dd,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:fc6ad70102ccca78713c05143d085657fae93c681a88e3527367f6d44f2dd1a6,sha256:7c0fb26df8c20f98f827026154218eaebe9542a64df54c865774cf7446b12c2e,0,0,tank=2|target=2|cooldown=0,109,100,0,432
109,STAY,109,sha256:62b88edef8814febfbbdd79896c4b02048ce77dfae34a93c378c642d3e7330dd,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:fc6ad70102ccca78713c05143d085657fae93c681a88e3527367f6d44f2dd1a6,sha256:7c0fb26df8c20f98f827026154218eaebe9542a64df54c865774cf7446b12c2e,0,0,tank=2|target=2|cooldown=1,109,100,0,432
109,RIGHT,109,sha256:62b88edef8814febfbbdd79896c4b02048ce77dfae34a93c378c642d3e7330dd,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:0761e728de1449d352c2d127a76a2ed5a5a9e9bd100cd99b2732cac8b5098b51,sha256:ef6534ea1190852e160834fe3c9f8fec90b4992207353852b7f287b647c16442,0,0,tank=2|target=3|cooldown=0,109,100,0,432
109,RIGHT,109,sha256:62b88edef8814febfbbdd79896c4b02048ce77dfae34a93c378c642d3e7330dd,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:0761e728de1449d352c2d127a76a2ed5a5a9e9bd100cd99b2732cac8b5098b51,sha256:ef6534ea1190852e160834fe3c9f8fec90b4992207353852b7f287b647c16442,0,0,tank=2|target=3|cooldown=1,109,100,0,432
109,RIGHT,109,sha256:62b88edef8814febfbbdd79896c4b02048ce77dfae34a93c378c642d3e7330dd,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:0f9494b8b192b3afb4859cad8f513ce06e90e782e4b65f10f440a66e9dda55b8,sha256:6639254ec1aecbc9e1562786b96f56b2ba32553a420c8daf904469b20cb8976c,sha256:cedb3a7da16c65c50556b5aa75559571f7b14ce94bd7edcefe8ac20258a7987d,0,0,tank=2|target=4|cooldown=0,109,100,0,432
