distribution,namespace,exported_symbol,owning_module,object_kind,source_module,is_reexport
zeromodel-analysis,zeromodel.analysis,critic_recipe,zeromodel.analysis,Function,zeromodel.analysis.critic,true
zeromodel-analysis,zeromodel.analysis,decode_key_value_row_id,zeromodel.analysis,Function,zeromodel.analysis.policy_properties,true
zeromodel-analysis,zeromodel.analysis,default_controller,zeromodel.analysis,Function,zeromodel.analysis.controller,true
zeromodel-analysis,zeromodel.analysis,detect_patterns,zeromodel.analysis,Function,zeromodel.analysis.patterns,true
zeromodel-analysis,zeromodel.analysis,find_inflection_points,zeromodel.analysis,Function,zeromodel.analysis.manifold,true
zeromodel-analysis,zeromodel.analysis,guarded_pack_artifact,zeromodel.analysis,Function,zeromodel.analysis.phos,true
zeromodel-analysis,zeromodel.analysis,image_entropy,zeromodel.analysis,Function,zeromodel.analysis.phos,true
zeromodel-analysis,zeromodel.analysis,learning_recipe,zeromodel.analysis,Function,zeromodel.analysis.learning,true
zeromodel-analysis,zeromodel.analysis,load_tracker_records,zeromodel.analysis,Function,zeromodel.analysis.adapters.common,true
zeromodel-analysis,zeromodel.analysis,observations_from_critic_lines,zeromodel.analysis,Function,zeromodel.analysis.critic,true
zeromodel-analysis,zeromodel.analysis,optimize_view_profile,zeromodel.analysis,Function,zeromodel.analysis.spatial,true
zeromodel-analysis,zeromodel.analysis,pack_artifact,zeromodel.analysis,Function,zeromodel.analysis.phos,true
zeromodel-analysis,zeromodel.analysis,phos_sort_pack,zeromodel.analysis,Function,zeromodel.analysis.phos,true
zeromodel-analysis,zeromodel.analysis,records_to_checkpoints,zeromodel.analysis,Function,zeromodel.analysis.adapters.common,true
zeromodel-analysis,zeromodel.analysis,reduce_blocks,zeromodel.analysis,Function,zeromodel.analysis.hierarchy,true
zeromodel-analysis,zeromodel.analysis,robust01,zeromodel.analysis,Function,zeromodel.analysis.phos,true
zeromodel-analysis,zeromodel.analysis,to_square,zeromodel.analysis,Function,zeromodel.analysis.phos,true
zeromodel-analysis,zeromodel.analysis,top_left_concentration,zeromodel.analysis,Function,zeromodel.analysis.phos,true
zeromodel-analysis,zeromodel.analysis,training_progress_recipe,zeromodel.analysis,Function,zeromodel.analysis.training,true
zeromodel-analysis,zeromodel.analysis,vpm_add,zeromodel.analysis,Function,zeromodel.analysis.compose,true
zeromodel-analysis,zeromodel.analysis,vpm_and,zeromodel.analysis,Function,zeromodel.analysis.compose,true
zeromodel-analysis,zeromodel.analysis,vpm_not,zeromodel.analysis,Function,zeromodel.analysis.compose,true
zeromodel-analysis,zeromodel.analysis,vpm_or,zeromodel.analysis,Function,zeromodel.analysis.compose,true
zeromodel-analysis,zeromodel.analysis,vpm_subtract,zeromodel.analysis,Function,zeromodel.analysis.compose,true
zeromodel-analysis,zeromodel.analysis,vpm_xor,zeromodel.analysis,Function,zeromodel.analysis.compose,true
zeromodel-analysis,zeromodel.analysis,with_q_diagnostics,zeromodel.analysis,Function,zeromodel.analysis.policy_diagnostics,true
zeromodel-observation,zeromodel.observation,DEPLOYMENT_BINDING_VERSION,zeromodel.observation,Constant,zeromodel.observation,false
zeromodel-observation,zeromodel.observation,DeploymentBinding,zeromodel.observation,Class,zeromodel.observation.deployment_binding,true
zeromodel-observation,zeromodel.observation,IMAGE_OBSERVATION_VERSION,zeromodel.observation,Constant,zeromodel.observation,false
zeromodel-observation,zeromodel.observation,ImageObservation,zeromodel.observation,Class,zeromodel.observation.visual_address,true
zeromodel-observation,zeromodel.observation,PrototypeBinding,zeromodel.observation,Class,zeromodel.observation.visual_address_manifest,true
zeromodel-observation,zeromodel.observation,VISUAL_ADDRESS_CONTRACT_VERSION,zeromodel.observation,Constant,zeromodel.observation,false
zeromodel-observation,zeromodel.observation,VISUAL_ADDRESS_DECISION_VERSION,zeromodel.observation,Constant,zeromodel.observation,false
zeromodel-observation,zeromodel.observation,VISUAL_ADDRESS_MANIFEST_VERSION,zeromodel.observation,Constant,zeromodel.observation,false
zeromodel-observation,zeromodel.observation,VisualAddressContract,zeromodel.observation,Class,zeromodel.observation.visual_address,true
zeromodel-observation,zeromodel.observation,VisualAddressDecision,zeromodel.observation,Class,zeromodel.observation.visual_address,true
zeromodel-observation,zeromodel.observation,VisualAddressManifest,zeromodel.observation,Class,zeromodel.observation.visual_address_manifest,true
zeromodel-observation,zeromodel.observation,VisualAddressProvider,zeromodel.observation,Class,zeromodel.observation.visual_address,true
zeromodel-sqlalchemy,zeromodel.persistence.sqlalchemy,FINALIZATION_SCHEMA_VERSION,zeromodel.persistence.sqlalchemy,Constant,zeromodel.persistence.sqlalchemy,false
zeromodel-sqlalchemy,zeromodel.persistence.sqlalchemy,SqlAlchemyVideoActionSetStore,zeromodel.persistence.sqlalchemy,Class,zeromodel.persistence.sqlalchemy.db.stores.video_action_set,true
zeromodel-sqlalchemy,zeromodel.persistence.sqlalchemy,build_finalization_sqlite_runtime,zeromodel.persistence.sqlalchemy,Function,zeromodel.persistence.sqlalchemy.db.runtime,true
zeromodel-sqlalchemy,zeromodel.persistence.sqlalchemy,build_sqlite_runtime,zeromodel.persistence.sqlalchemy,Function,zeromodel.persistence.sqlalchemy.db.runtime,true
zeromodel-sqlalchemy,zeromodel.persistence.sqlalchemy,create_database_engine,zeromodel.persistence.sqlalchemy,Function,zeromodel.persistence.sqlalchemy.db.session,true
zeromodel-sqlalchemy,zeromodel.persistence.sqlalchemy,create_schema,zeromodel.persistence.sqlalchemy,Function,zeromodel.persistence.sqlalchemy.db.session,true
zeromodel-sqlalchemy,zeromodel.persistence.sqlalchemy,create_session_factory,zeromodel.persistence.sqlalchemy,Function,zeromodel.persistence.sqlalchemy.db.session,true
